step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,grad_norm,loss,learning_rate,SemVariants_ratio,VisVariants_ratio,DermQA_ratio,SI1_ratio,SI2_ratio
45,1,45,256,0.12516043045616243,0.9179554581642151,0.7173,1.7812500000000003e-05,0.14453125,0.13671875,0.0859375,0.328125,0.3046875
46,1,46,256,0.13839779305271804,,,,0.109375,0.1640625,0.08984375,0.296875,0.33984375
47,1,47,256,0.1308907890925184,,,,0.08203125,0.23828125,0.06640625,0.30859375,0.3046875
48,1,48,256,0.13777395046781749,,,,0.12109375,0.1953125,0.08203125,0.3359375,0.265625
49,1,49,256,0.13886610319605097,,,,0.14453125,0.19921875,0.07421875,0.3046875,0.27734375
50,1,50,256,0.15064742116373964,,,,0.12109375,0.15234375,0.05859375,0.33203125,0.3359375
51,1,51,256,0.12036201616865583,,,,0.12109375,0.19140625,0.1015625,0.28125,0.3046875
52,1,52,256,0.13194269448285922,,,,0.125,0.1953125,0.0625,0.30859375,0.30859375
53,1,53,256,0.12734410993289202,,,,0.125,0.2265625,0.08203125,0.3125,0.25390625
54,1,54,256,0.12105961341876537,,,,0.12109375,0.20703125,0.08984375,0.28515625,0.296875
55,1,55,256,0.1372226273524575,0.8017697334289551,0.6425,1.71875e-05,0.14453125,0.203125,0.06640625,0.26953125,0.31640625
56,1,56,256,0.13055948211695068,,,,0.15234375,0.16796875,0.0703125,0.23828125,0.37109375
57,1,57,256,0.14717982659931295,,,,0.109375,0.1640625,0.07421875,0.328125,0.32421875
58,1,58,256,0.13385302986716852,,,,0.13671875,0.21875,0.05859375,0.30859375,0.27734375
59,1,59,256,0.12695295753655955,,,,0.078125,0.171875,0.1015625,0.28125,0.3671875
60,1,60,256,0.14244341445737518,,,,0.12109375,0.140625,0.06640625,0.328125,0.34375
61,1,61,256,0.1336422438325826,,,,0.10546875,0.20703125,0.05859375,0.26171875,0.3671875
62,1,62,256,0.1245583857235033,,,,0.15625,0.19140625,0.0625,0.2578125,0.33203125
63,1,63,256,0.13275044821057236,,,,0.12890625,0.1796875,0.078125,0.28125,0.33203125
64,1,64,256,0.15627750213025138,,,,0.14453125,0.1328125,0.08203125,0.29296875,0.34765625
65,1,65,256,0.1292833519692067,0.8002961277961731,0.5927,1.6562500000000003e-05,0.11328125,0.23046875,0.0703125,0.28125,0.3046875
66,1,66,256,0.12775950043578632,,,,0.11328125,0.1875,0.08203125,0.3359375,0.28125
67,1,67,256,0.135485381098988,,,,0.1171875,0.19140625,0.078125,0.2734375,0.33984375
68,1,68,256,0.1358415976719698,,,,0.125,0.20703125,0.07421875,0.3203125,0.2734375
69,1,69,256,0.13987811938568484,,,,0.09765625,0.203125,0.06640625,0.37109375,0.26171875
70,1,70,256,0.14759285598120186,,,,0.12109375,0.17578125,0.0625,0.35546875,0.28515625
71,1,71,256,0.13532164850039408,,,,0.10546875,0.20703125,0.09765625,0.265625,0.32421875
72,1,72,256,0.13165182759985328,,,,0.1171875,0.17578125,0.08984375,0.2890625,0.328125
73,1,73,256,0.12135231876163743,,,,0.12109375,0.234375,0.05859375,0.26171875,0.32421875
74,1,74,256,0.12361397070344537,,,,0.10546875,0.20703125,0.0859375,0.33203125,0.26953125
75,1,75,256,0.13582319776469376,0.8402279615402222,0.5525,1.59375e-05,0.1171875,0.20703125,0.07421875,0.3203125,0.28125
76,1,76,256,0.13692013706895523,,,,0.1015625,0.234375,0.06640625,0.28515625,0.3125
77,1,77,256,0.12680265871313168,,,,0.10546875,0.26953125,0.05078125,0.28515625,0.2890625
78,1,78,256,0.13770621689036489,,,,0.13671875,0.1953125,0.0546875,0.2890625,0.32421875
79,1,79,256,0.1266417645092588,,,,0.1171875,0.1953125,0.08203125,0.28125,0.32421875
80,1,80,256,0.13817221572389826,,,,0.17578125,0.14453125,0.04296875,0.35546875,0.28125
81,1,81,256,0.14007872861111537,,,,0.109375,0.1875,0.0703125,0.3515625,0.28125
82,1,82,256,0.13323719683103263,,,,0.12109375,0.19921875,0.07421875,0.2734375,0.33203125
83,1,83,256,0.1289369154110318,,,,0.12890625,0.1953125,0.06640625,0.27734375,0.33203125
84,1,84,256,0.14362194438581355,,,,0.109375,0.2109375,0.078125,0.296875,0.3046875
85,1,85,256,0.11973818225669675,0.8911767601966858,0.5106,1.5312500000000003e-05,0.125,0.18359375,0.109375,0.28125,0.30078125
86,1,86,256,0.1291158097446896,,,,0.08984375,0.2421875,0.09765625,0.26953125,0.30078125
87,1,87,256,0.13235092045215424,,,,0.08203125,0.19140625,0.07421875,0.30078125,0.3515625
88,1,88,256,0.12975992285646498,,,,0.109375,0.21484375,0.08984375,0.28125,0.3046875
89,1,89,256,0.1287994832964614,,,,0.11328125,0.203125,0.08203125,0.30859375,0.29296875
90,1,90,256,0.12279314751503989,,,,0.13671875,0.22265625,0.0625,0.2890625,0.2890625
91,1,91,256,0.1356755078304559,,,,0.1171875,0.19921875,0.0703125,0.35546875,0.2578125
92,1,92,256,0.14758952634292655,,,,0.1171875,0.17578125,0.05078125,0.3515625,0.3046875
93,1,93,256,0.14784638622950297,,,,0.11328125,0.203125,0.0859375,0.3359375,0.26171875
94,1,94,256,0.12752245698357,,,,0.1484375,0.203125,0.08984375,0.2265625,0.33203125
95,1,95,256,0.1268256826006109,,,,0.13671875,0.1953125,0.0546875,0.29296875,0.3203125
